scope,family,precision,condition,n,held_rate,auroc,ci_lo,ci_hi,above_0.70
pooled,all,all,all,14380,0.431641,0.633216,0.621077,0.645114,False
by precision,all,q4_K_M,all,4743,0.437908,0.651128,0.637888,0.663808,False
by precision,all,q8_0,all,4804,0.430891,0.624879,0.610896,0.638729,False
by precision,all,fp16,all,4833,0.426236,0.623628,0.610063,0.636557,False
by configuration,llama3.1-8b,fp16,expert,183,0,,,,False
by configuration,llama3.1-8b,fp16,reask,183,0.934426,0.829435,0.729274,0.913514,True
by configuration,llama3.1-8b,fp16,speaker_free,183,0,,,,False
by configuration,llama3.1-8b,fp16,user,183,0,,,,False
by configuration,llama3.1-8b,q4_K_M,expert,178,0,,,,False
by configuration,llama3.1-8b,q4_K_M,reask,178,0.898876,0.873264,0.798411,0.935333,True
by configuration,llama3.1-8b,q4_K_M,speaker_free,178,0.00561798,0.683616,0.615819,0.755682,False
by configuration,llama3.1-8b,q4_K_M,user,178,0,,,,False
by configuration,llama3.1-8b,q8_0,expert,179,0,,,,False
by configuration,llama3.1-8b,q8_0,reask,179,0.944134,0.802959,0.691841,0.902299,True
by configuration,llama3.1-8b,q8_0,speaker_free,179,0,,,,False
by configuration,llama3.1-8b,q8_0,user,179,0,,,,False
by configuration,llama3.2-3b,fp16,expert,180,0,,,,False
by configuration,llama3.2-3b,fp16,reask,180,0.944444,0.884706,0.816459,0.941181,True
by configuration,llama3.2-3b,fp16,speaker_free,180,0.00555556,0.98324,0.960894,1,True
by configuration,llama3.2-3b,fp16,user,180,0,,,,False
by configuration,llama3.2-3b,q4_K_M,expert,182,0,,,,False
by configuration,llama3.2-3b,q4_K_M,reask,182,0.89011,0.773457,0.676641,0.858849,True
by configuration,llama3.2-3b,q4_K_M,speaker_free,182,0.010989,0.838889,0.707182,0.950276,True
by configuration,llama3.2-3b,q4_K_M,user,182,0.010989,0.838889,0.707182,0.950276,True
by configuration,llama3.2-3b,q8_0,expert,180,0,,,,False
by configuration,llama3.2-3b,q8_0,reask,180,0.933333,0.880952,0.815289,0.940226,True
by configuration,llama3.2-3b,q8_0,speaker_free,179,0,,,,False
by configuration,llama3.2-3b,q8_0,user,180,0.00555556,0.972067,0.944134,0.994413,True
by configuration,phi4-14b,fp16,expert,223,0.699552,0.83563,0.773251,0.891937,True
by configuration,phi4-14b,fp16,reask,223,0.995516,0.936937,0.904545,0.968326,True
by configuration,phi4-14b,fp16,speaker_free,223,0.757848,0.826759,0.752918,0.896771,True
by configuration,phi4-14b,fp16,user,223,0.964126,0.840698,0.703463,0.953197,True
by configuration,phi4-14b,q4_K_M,expert,222,0.747748,0.796902,0.7178,0.870317,True
by configuration,phi4-14b,q4_K_M,reask,222,0.995495,0.945701,0.914027,0.972851,True
by configuration,phi4-14b,q4_K_M,speaker_free,222,0.806306,0.766532,0.677488,0.85058,True
by configuration,phi4-14b,q4_K_M,user,222,0.981982,0.829128,0.615385,0.94723,True
by configuration,phi4-14b,q8_0,expert,223,0.717489,0.825198,0.759395,0.8867,True
by configuration,phi4-14b,q8_0,reask,223,0.995516,0.936937,0.900901,0.963964,True
by configuration,phi4-14b,q8_0,speaker_free,223,0.753363,0.821212,0.74265,0.891852,True
by configuration,phi4-14b,q8_0,user,223,0.964126,0.83314,0.694568,0.951193,True
by configuration,phi4-mini-3.8b,fp16,expert,207,0.144928,0.73371,0.641529,0.81582,True
by configuration,phi4-mini-3.8b,fp16,reask,205,0.97561,0.782,0.575466,0.942222,True
by configuration,phi4-mini-3.8b,fp16,speaker_free,207,0.115942,0.737022,0.633624,0.831035,True
by configuration,phi4-mini-3.8b,fp16,user,207,0.386473,0.778937,0.715065,0.841962,True
by configuration,phi4-mini-3.8b,q4_K_M,expert,196,0.132653,0.664253,0.565896,0.7631,False
by configuration,phi4-mini-3.8b,q4_K_M,reask,192,0.885417,0.633155,0.527645,0.734482,False
by configuration,phi4-mini-3.8b,q4_K_M,speaker_free,195,0.128205,0.699059,0.59225,0.798138,False
by configuration,phi4-mini-3.8b,q4_K_M,user,196,0.357143,0.779478,0.710682,0.843301,True
by configuration,phi4-mini-3.8b,q8_0,expert,203,0.137931,0.73102,0.644147,0.816667,True
by configuration,phi4-mini-3.8b,q8_0,reask,202,0.970297,0.803571,0.639646,0.932998,True
by configuration,phi4-mini-3.8b,q8_0,speaker_free,203,0.123153,0.753708,0.647627,0.847999,True
by configuration,phi4-mini-3.8b,q8_0,user,203,0.37931,0.760977,0.696115,0.829832,True
by configuration,qwen2.5-3b,fp16,expert,197,0.294416,0.685066,0.606851,0.761493,False
by configuration,qwen2.5-3b,fp16,reask,196,0.418367,0.737912,0.66554,0.804813,True
by configuration,qwen2.5-3b,fp16,speaker_free,197,0.593909,0.63109,0.548765,0.708677,False
by configuration,qwen2.5-3b,fp16,user,197,0.715736,0.536221,0.444812,0.632673,False
by configuration,qwen2.5-3b,q4_K_M,expert,186,0.564516,0.649971,0.569948,0.729502,False
by configuration,qwen2.5-3b,q4_K_M,reask,186,0.301075,0.664423,0.58365,0.739715,False
by configuration,qwen2.5-3b,q4_K_M,speaker_free,186,0.602151,0.627172,0.543565,0.704278,False
by configuration,qwen2.5-3b,q4_K_M,user,186,0.892473,0.649096,0.497975,0.778445,False
by configuration,qwen2.5-3b,q8_0,expert,197,0.340102,0.651894,0.570085,0.729608,False
by configuration,qwen2.5-3b,q8_0,reask,195,0.394872,0.736848,0.663973,0.803228,True
by configuration,qwen2.5-3b,q8_0,speaker_free,197,0.624365,0.642936,0.558125,0.719704,False
by configuration,qwen2.5-3b,q8_0,user,197,0.746193,0.540408,0.449001,0.635788,False
by configuration,qwen2.5-7b,fp16,expert,219,0,,,,False
by configuration,qwen2.5-7b,fp16,reask,219,0.990868,0.87788,0.824885,0.926606,True
by configuration,qwen2.5-7b,fp16,speaker_free,219,0.00913242,0.790323,0.580645,0.972477,True
by configuration,qwen2.5-7b,fp16,user,219,0.0228311,0.774766,0.637615,0.911802,True
by configuration,qwen2.5-7b,q4_K_M,expert,223,0,,,,False
by configuration,qwen2.5-7b,q4_K_M,reask,223,0.977578,0.919266,0.845455,0.986425,True
by configuration,qwen2.5-7b,q4_K_M,speaker_free,223,0.0358744,0.812209,0.650129,0.957767,True
by configuration,qwen2.5-7b,q4_K_M,user,223,0.044843,0.78169,0.686846,0.87693,True
by configuration,qwen2.5-7b,q8_0,expert,220,0,,,,False
by configuration,qwen2.5-7b,q8_0,reask,220,0.990909,0.87156,0.825688,0.913242,True
by configuration,qwen2.5-7b,q8_0,speaker_free,220,0.0136364,0.847926,0.57785,0.995414,True
by configuration,qwen2.5-7b,q8_0,user,220,0.0272727,0.794393,0.653347,0.921702,True
