family,precision,n,mean_c0,accuracy,ece_15
llama3.1-8b,fp16,299,0.755813,0.61204,0.157383
llama3.1-8b,q4_K_M,298,0.747273,0.597315,0.160831
llama3.1-8b,q8_0,298,0.757154,0.600671,0.160263
llama3.2-3b,fp16,295,0.722956,0.610169,0.117824
llama3.2-3b,q4_K_M,297,0.744242,0.612795,0.145294
llama3.2-3b,q8_0,295,0.722174,0.610169,0.119794
phi4-14b,fp16,263,0.963,0.847909,0.121747
phi4-14b,q4_K_M,257,0.96689,0.863813,0.112748
phi4-14b,q8_0,262,0.963004,0.851145,0.115997
phi4-mini-3.8b,fp16,296,0.79468,0.699324,0.116283
phi4-mini-3.8b,q4_K_M,295,0.796341,0.664407,0.131935
phi4-mini-3.8b,q8_0,297,0.796554,0.683502,0.131037
qwen2.5-3b,fp16,300,0.965606,0.656667,0.30894
qwen2.5-3b,q4_K_M,300,0.962588,0.62,0.346926
qwen2.5-3b,q8_0,300,0.964729,0.656667,0.308062
qwen2.5-7b,fp16,300,0.962649,0.73,0.232649
qwen2.5-7b,q4_K_M,300,0.961083,0.743333,0.221355
qwen2.5-7b,q8_0,300,0.96203,0.733333,0.228697
