precision,bin,n,flips,mean_c0,flip_rate,ci_lo,ci_hi,bin_index
fp16,<.5,207,206,0.419218,0.995169,0.973148,0.999147,0
fp16,.5–.8,396,373,0.651492,0.941919,0.914358,0.960989,1
fp16,.8–.95,369,334,0.884443,0.905149,0.870941,0.931008,2
fp16,.95–.99,375,328,0.975115,0.874667,0.837311,0.904424,3
fp16,.99–.999,372,280,0.996418,0.752688,0.70641,0.793801,4
fp16,≥.999,1908,1108,0.999929,0.580713,0.558431,0.60267,5
q4_K_M,<.5,174,173,0.412523,0.994253,0.968169,0.998985,0
q4_K_M,.5–.8,447,411,0.664105,0.919463,0.890517,0.941261,1
q4_K_M,.8–.95,369,337,0.890327,0.913279,0.880139,0.937903,2
q4_K_M,.95–.99,315,278,0.975116,0.88254,0.842291,0.913571,3
q4_K_M,.99–.999,366,282,0.996449,0.770492,0.724733,0.810631,4
q4_K_M,≥.999,1889,989,0.999918,0.523557,0.50101,0.546009,5
q8_0,<.5,198,197,0.419953,0.994949,0.971951,0.999108,0
q8_0,.5–.8,378,353,0.651047,0.933862,0.904191,0.954804,1
q8_0,.8–.95,378,347,0.883827,0.917989,0.885944,0.941624,2
q8_0,.95–.99,357,302,0.974606,0.845938,0.804826,0.879685,3
q8_0,.99–.999,393,304,0.996225,0.773537,0.729625,0.812153,4
q8_0,≥.999,1901,1082,0.999931,0.569174,0.546796,0.591273,5
