precision,c0,predicted_flip
fp16,0.3,0.999818
fp16,0.311863,0.999765
fp16,0.323725,0.999699
fp16,0.335588,0.999618
fp16,0.347451,0.999519
fp16,0.359314,0.999399
fp16,0.371176,0.999255
fp16,0.383039,0.999082
fp16,0.394902,0.998876
fp16,0.406764,0.998633
fp16,0.418627,0.998346
fp16,0.43049,0.99801
fp16,0.442353,0.997617
fp16,0.454215,0.997161
fp16,0.466078,0.996634
fp16,0.477941,0.996025
fp16,0.489803,0.995326
fp16,0.501666,0.994526
fp16,0.513529,0.993614
fp16,0.525392,0.992577
fp16,0.537254,0.991402
fp16,0.549117,0.990074
fp16,0.56098,0.988579
fp16,0.572842,0.986901
fp16,0.584705,0.985021
fp16,0.596568,0.982922
fp16,0.608431,0.980585
fp16,0.620293,0.97799
fp16,0.632156,0.975115
fp16,0.644019,0.97194
fp16,0.655881,0.968441
fp16,0.667744,0.964597
fp16,0.679607,0.960383
fp16,0.691469,0.955776
fp16,0.703332,0.950752
fp16,0.715195,0.945288
fp16,0.727058,0.939361
fp16,0.73892,0.932948
fp16,0.750783,0.926027
fp16,0.762646,0.918578
fp16,0.774508,0.910583
fp16,0.786371,0.902024
fp16,0.798234,0.892887
fp16,0.810097,0.88316
fp16,0.821959,0.872833
fp16,0.833822,0.861901
fp16,0.845685,0.850362
fp16,0.857547,0.838217
fp16,0.86941,0.825471
fp16,0.881273,0.812135
fp16,0.893136,0.798224
fp16,0.904998,0.783755
fp16,0.916861,0.768752
fp16,0.928724,0.753242
fp16,0.940586,0.737259
fp16,0.952449,0.720836
fp16,0.964312,0.704013
fp16,0.976175,0.686834
fp16,0.988037,0.669343
fp16,0.9999,0.651588
q4_K_M,0.3,0.999806
q4_K_M,0.311863,0.999748
q4_K_M,0.323725,0.999676
q4_K_M,0.335588,0.999588
q4_K_M,0.347451,0.99948
q4_K_M,0.359314,0.999348
q4_K_M,0.371176,0.999189
q4_K_M,0.383039,0.998998
q4_K_M,0.394902,0.998771
q4_K_M,0.406764,0.998501
q4_K_M,0.418627,0.998182
q4_K_M,0.43049,0.997807
q4_K_M,0.442353,0.997368
q4_K_M,0.454215,0.996858
q4_K_M,0.466078,0.996265
q4_K_M,0.477941,0.995581
q4_K_M,0.489803,0.994794
q4_K_M,0.501666,0.993891
q4_K_M,0.513529,0.99286
q4_K_M,0.525392,0.991685
q4_K_M,0.537254,0.990352
q4_K_M,0.549117,0.988844
q4_K_M,0.56098,0.987143
q4_K_M,0.572842,0.98523
q4_K_M,0.584705,0.983085
q4_K_M,0.596568,0.980688
q4_K_M,0.608431,0.978016
q4_K_M,0.620293,0.975046
q4_K_M,0.632156,0.971754
q4_K_M,0.644019,0.968114
q4_K_M,0.655881,0.964102
q4_K_M,0.667744,0.959692
q4_K_M,0.679607,0.954857
q4_K_M,0.691469,0.94957
q4_K_M,0.703332,0.943806
q4_K_M,0.715195,0.937538
q4_K_M,0.727058,0.930743
q4_K_M,0.73892,0.923394
q4_K_M,0.750783,0.915472
q4_K_M,0.762646,0.906954
q4_K_M,0.774508,0.897823
q4_K_M,0.786371,0.888064
q4_K_M,0.798234,0.877664
q4_K_M,0.810097,0.866615
q4_K_M,0.821959,0.854912
q4_K_M,0.833822,0.842555
q4_K_M,0.845685,0.829547
q4_K_M,0.857547,0.815899
q4_K_M,0.86941,0.801625
q4_K_M,0.881273,0.786743
q4_K_M,0.893136,0.771279
q4_K_M,0.904998,0.755261
q4_K_M,0.916861,0.738725
q4_K_M,0.928724,0.72171
q4_K_M,0.940586,0.704259
q4_K_M,0.952449,0.68642
q4_K_M,0.964312,0.668243
q4_K_M,0.976175,0.649782
q4_K_M,0.988037,0.631092
q4_K_M,0.9999,0.61223
q8_0,0.3,0.999768
q8_0,0.311863,0.999701
q8_0,0.323725,0.99962
q8_0,0.335588,0.999521
q8_0,0.347451,0.9994
q8_0,0.359314,0.999256
q8_0,0.371176,0.999082
q8_0,0.383039,0.998876
q8_0,0.394902,0.998631
q8_0,0.406764,0.998344
q8_0,0.418627,0.998006
q8_0,0.43049,0.997613
q8_0,0.442353,0.997157
q8_0,0.454215,0.996629
q8_0,0.466078,0.996021
q8_0,0.477941,0.995323
q8_0,0.489803,0.994526
q8_0,0.501666,0.993617
q8_0,0.513529,0.992586
q8_0,0.525392,0.991418
q8_0,0.537254,0.990101
q8_0,0.549117,0.988619
q8_0,0.56098,0.986958
q8_0,0.572842,0.9851
q8_0,0.584705,0.983028
q8_0,0.596568,0.980723
q8_0,0.608431,0.978168
q8_0,0.620293,0.975341
q8_0,0.632156,0.972223
q8_0,0.644019,0.968792
q8_0,0.655881,0.965026
q8_0,0.667744,0.960903
q8_0,0.679607,0.956402
q8_0,0.691469,0.9515
q8_0,0.703332,0.946174
q8_0,0.715195,0.940403
q8_0,0.727058,0.934166
q8_0,0.73892,0.927442
q8_0,0.750783,0.920212
q8_0,0.762646,0.912459
q8_0,0.774508,0.904167
q8_0,0.786371,0.895321
q8_0,0.798234,0.885911
q8_0,0.810097,0.875927
q8_0,0.821959,0.865364
q8_0,0.833822,0.854219
q8_0,0.845685,0.842493
q8_0,0.857547,0.83019
q8_0,0.86941,0.81732
q8_0,0.881273,0.803894
q8_0,0.893136,0.78993
q8_0,0.904998,0.775448
q8_0,0.916861,0.760472
q8_0,0.928724,0.745031
q8_0,0.940586,0.729159
q8_0,0.952449,0.712889
q8_0,0.964312,0.696261
q8_0,0.976175,0.679316
q8_0,0.988037,0.662099
q8_0,0.9999,0.644654
