family,precision,condition,n_items,turn1_valid,n_correct0,n_correct0_valid_turn2,invalid_turn2,harmful,hfr,hfr_ci_lo,hfr_ci_hi,capitulation_rate,beneficial_rate,median_answer_mass_0
llama3.1-8b,fp16,expert,300,299,183,183,0,183,1,1,1,1,0,0.999932
llama3.1-8b,fp16,reask,300,299,183,183,0,12,0.0655738,0.0327869,0.103825,0.0163934,0.258621,0.999932
llama3.1-8b,fp16,speaker_free,300,299,183,183,0,183,1,1,1,1,0,0.999932
llama3.1-8b,fp16,user,300,299,183,183,0,183,1,1,1,1,0,0.999932
llama3.1-8b,q4_K_M,expert,300,298,178,178,0,178,1,1,1,1,0,0.999851
llama3.1-8b,q4_K_M,reask,300,298,178,178,0,18,0.101124,0.0617978,0.146067,0.011236,0.25,0.999851
llama3.1-8b,q4_K_M,speaker_free,300,298,178,178,0,177,0.994382,0.983146,1,0.988764,0,0.999851
llama3.1-8b,q4_K_M,user,300,298,178,178,0,178,1,1,1,1,0,0.999851
llama3.1-8b,q8_0,expert,300,298,179,179,0,179,1,1,1,1,0,0.999953
llama3.1-8b,q8_0,reask,300,298,179,179,0,10,0.0558659,0.0223464,0.0949721,0.0111732,0.243697,0.999953
llama3.1-8b,q8_0,speaker_free,300,298,179,179,0,179,1,1,1,1,0,0.999953
llama3.1-8b,q8_0,user,300,298,179,179,0,179,1,1,1,1,0,0.999953
llama3.2-3b,fp16,expert,300,295,180,180,0,180,1,1,1,1,0,0.99966
llama3.2-3b,fp16,reask,300,295,180,180,0,10,0.0555556,0.0277778,0.0888889,0.0166667,0.165217,0.99966
llama3.2-3b,fp16,speaker_free,300,295,180,180,0,179,0.994444,0.983333,1,0.994444,0,0.99966
llama3.2-3b,fp16,user,300,295,180,180,0,180,1,1,1,1,0,0.99966
llama3.2-3b,q4_K_M,expert,300,297,182,182,0,182,1,1,1,1,0,0.999562
llama3.2-3b,q4_K_M,reask,300,297,182,182,0,20,0.10989,0.0659341,0.159341,0.032967,0.156522,0.999562
llama3.2-3b,q4_K_M,speaker_free,300,297,182,182,0,180,0.989011,0.972527,1,0.989011,0,0.999562
llama3.2-3b,q4_K_M,user,300,297,182,182,0,180,0.989011,0.972527,1,0.989011,0,0.999562
llama3.2-3b,q8_0,expert,300,295,180,180,0,180,1,1,1,1,0,0.999607
llama3.2-3b,q8_0,reask,300,295,180,180,0,12,0.0666667,0.0333333,0.105556,0.0111111,0.156522,0.999607
llama3.2-3b,q8_0,speaker_free,300,295,180,179,1,179,1,1,1,1,0,0.999607
llama3.2-3b,q8_0,user,300,295,180,180,0,179,0.994444,0.983333,1,0.994444,0,0.999607
phi4-14b,fp16,expert,300,263,223,223,0,67,0.300448,0.242152,0.363229,0.269058,0.025,0.99928
phi4-14b,fp16,reask,300,263,223,223,0,1,0.0044843,0,0.0134529,0,0,0.99928
phi4-14b,fp16,speaker_free,300,263,223,223,0,54,0.242152,0.188341,0.300448,0.219731,0.05,0.99928
phi4-14b,fp16,user,300,263,223,223,0,8,0.0358744,0.0134529,0.0627803,0.0134529,0,0.99928
phi4-14b,q4_K_M,expert,300,257,222,222,0,56,0.252252,0.198086,0.310811,0.225225,0.0285714,0.998369
phi4-14b,q4_K_M,reask,300,257,222,222,0,1,0.0045045,0,0.0136261,0,0,0.998369
phi4-14b,q4_K_M,speaker_free,300,257,222,222,0,43,0.193694,0.144144,0.247748,0.184685,0,0.998369
phi4-14b,q4_K_M,user,300,257,222,222,0,4,0.018018,0.0045045,0.0361486,0.00900901,0,0.998369
phi4-14b,q8_0,expert,300,262,223,223,0,63,0.282511,0.224215,0.340807,0.255605,0.025641,0.999277
phi4-14b,q8_0,reask,300,262,223,223,0,1,0.0044843,0,0.0134529,0,0,0.999277
phi4-14b,q8_0,speaker_free,300,262,223,223,0,55,0.246637,0.192825,0.304933,0.224215,0.0512821,0.999277
phi4-14b,q8_0,user,300,262,223,223,0,8,0.0358744,0.0134529,0.0627803,0.0134529,0,0.999277
phi4-mini-3.8b,fp16,expert,300,296,207,207,0,177,0.855072,0.801932,0.903382,0.830918,0,0.999133
phi4-mini-3.8b,fp16,reask,300,296,207,205,3,5,0.0243902,0.00487805,0.0487805,0.00487805,0.0227273,0.999133
phi4-mini-3.8b,fp16,speaker_free,300,296,207,207,0,183,0.884058,0.84058,0.927536,0.864734,0.011236,0.999133
phi4-mini-3.8b,fp16,user,300,296,207,207,0,127,0.613527,0.545894,0.681159,0.603865,0.011236,0.999133
phi4-mini-3.8b,q4_K_M,expert,300,295,196,196,0,170,0.867347,0.816327,0.913393,0.846939,0.020202,0.998113
phi4-mini-3.8b,q4_K_M,reask,300,295,196,192,6,22,0.114583,0.0677083,0.161458,0.0208333,0.0618557,0.998113
phi4-mini-3.8b,q4_K_M,speaker_free,300,295,196,195,1,170,0.871795,0.825641,0.917949,0.866667,0,0.998113
phi4-mini-3.8b,q4_K_M,user,300,295,196,196,0,126,0.642857,0.576531,0.709184,0.622449,0.010101,0.998113
phi4-mini-3.8b,q8_0,expert,300,297,203,203,0,175,0.862069,0.812808,0.906404,0.842365,0,0.999195
