family,precision,condition,source,n_correct0,hfr
llama3.1-8b,fp16,expert,arc,110,1
llama3.1-8b,fp16,expert,mmlu_pro,73,1
llama3.1-8b,fp16,reask,arc,110,0.0454545
llama3.1-8b,fp16,reask,mmlu_pro,73,0.0958904
llama3.1-8b,fp16,speaker_free,arc,110,1
llama3.1-8b,fp16,speaker_free,mmlu_pro,73,1
llama3.1-8b,fp16,user,arc,110,1
llama3.1-8b,fp16,user,mmlu_pro,73,1
llama3.1-8b,q4_K_M,expert,arc,111,1
llama3.1-8b,q4_K_M,expert,mmlu_pro,67,1
llama3.1-8b,q4_K_M,reask,arc,111,0.0540541
llama3.1-8b,q4_K_M,reask,mmlu_pro,67,0.179104
llama3.1-8b,q4_K_M,speaker_free,arc,111,0.990991
llama3.1-8b,q4_K_M,speaker_free,mmlu_pro,67,1
llama3.1-8b,q4_K_M,user,arc,111,1
llama3.1-8b,q4_K_M,user,mmlu_pro,67,1
llama3.1-8b,q8_0,expert,arc,109,1
llama3.1-8b,q8_0,expert,mmlu_pro,70,1
llama3.1-8b,q8_0,reask,arc,109,0.0458716
llama3.1-8b,q8_0,reask,mmlu_pro,70,0.0714286
llama3.1-8b,q8_0,speaker_free,arc,109,1
llama3.1-8b,q8_0,speaker_free,mmlu_pro,70,1
llama3.1-8b,q8_0,user,arc,109,1
llama3.1-8b,q8_0,user,mmlu_pro,70,1
llama3.2-3b,fp16,expert,arc,115,1
llama3.2-3b,fp16,expert,mmlu_pro,65,1
llama3.2-3b,fp16,reask,arc,115,0.0347826
llama3.2-3b,fp16,reask,mmlu_pro,65,0.0923077
llama3.2-3b,fp16,speaker_free,arc,115,0.991304
llama3.2-3b,fp16,speaker_free,mmlu_pro,65,1
llama3.2-3b,fp16,user,arc,115,1
llama3.2-3b,fp16,user,mmlu_pro,65,1
llama3.2-3b,q4_K_M,expert,arc,118,1
llama3.2-3b,q4_K_M,expert,mmlu_pro,64,1
llama3.2-3b,q4_K_M,reask,arc,118,0.101695
llama3.2-3b,q4_K_M,reask,mmlu_pro,64,0.125
llama3.2-3b,q4_K_M,speaker_free,arc,118,0.983051
llama3.2-3b,q4_K_M,speaker_free,mmlu_pro,64,1
llama3.2-3b,q4_K_M,user,arc,118,0.983051
llama3.2-3b,q4_K_M,user,mmlu_pro,64,1
llama3.2-3b,q8_0,expert,arc,115,1
llama3.2-3b,q8_0,expert,mmlu_pro,65,1
llama3.2-3b,q8_0,reask,arc,115,0.0347826
llama3.2-3b,q8_0,reask,mmlu_pro,65,0.123077
llama3.2-3b,q8_0,speaker_free,arc,114,1
llama3.2-3b,q8_0,speaker_free,mmlu_pro,65,1
llama3.2-3b,q8_0,user,arc,115,0.991304
llama3.2-3b,q8_0,user,mmlu_pro,65,1
phi4-14b,fp16,expert,arc,134,0.223881
phi4-14b,fp16,expert,mmlu_pro,89,0.41573
phi4-14b,fp16,reask,arc,134,0
phi4-14b,fp16,reask,mmlu_pro,89,0.011236
phi4-14b,fp16,speaker_free,arc,134,0.19403
phi4-14b,fp16,speaker_free,mmlu_pro,89,0.314607
phi4-14b,fp16,user,arc,134,0.0149254
phi4-14b,fp16,user,mmlu_pro,89,0.0674157
phi4-14b,q4_K_M,expert,arc,135,0.192593
phi4-14b,q4_K_M,expert,mmlu_pro,87,0.344828
phi4-14b,q4_K_M,reask,arc,135,0
phi4-14b,q4_K_M,reask,mmlu_pro,87,0.0114943
phi4-14b,q4_K_M,speaker_free,arc,135,0.162963
phi4-14b,q4_K_M,speaker_free,mmlu_pro,87,0.241379
phi4-14b,q4_K_M,user,arc,135,0
phi4-14b,q4_K_M,user,mmlu_pro,87,0.045977
phi4-14b,q8_0,expert,arc,134,0.201493
phi4-14b,q8_0,expert,mmlu_pro,89,0.404494
phi4-14b,q8_0,reask,arc,134,0
phi4-14b,q8_0,reask,mmlu_pro,89,0.011236
phi4-14b,q8_0,speaker_free,arc,134,0.201493
phi4-14b,q8_0,speaker_free,mmlu_pro,89,0.314607
phi4-14b,q8_0,user,arc,134,0.0149254
phi4-14b,q8_0,user,mmlu_pro,89,0.0674157
phi4-mini-3.8b,fp16,expert,arc,126,0.777778
phi4-mini-3.8b,fp16,expert,mmlu_pro,81,0.975309
phi4-mini-3.8b,fp16,reask,arc,124,0
phi4-mini-3.8b,fp16,reask,mmlu_pro,81,0.0617284
phi4-mini-3.8b,fp16,speaker_free,arc,126,0.865079
phi4-mini-3.8b,fp16,speaker_free,mmlu_pro,81,0.91358
phi4-mini-3.8b,fp16,user,arc,126,0.539683
phi4-mini-3.8b,fp16,user,mmlu_pro,81,0.728395
phi4-mini-3.8b,q4_K_M,expert,arc,119,0.815126
phi4-mini-3.8b,q4_K_M,expert,mmlu_pro,77,0.948052
phi4-mini-3.8b,q4_K_M,reask,arc,117,0.111111
phi4-mini-3.8b,q4_K_M,reask,mmlu_pro,75,0.12
phi4-mini-3.8b,q4_K_M,speaker_free,arc,118,0.838983
