comparison,condition,scope,role,n_pairs,n_items,both_harmful,only_a,only_b,neither,hfr_a,hfr_b,diff_a_minus_b,ci_lo,ci_hi,ci_level,cohens_h,p_mcnemar_exact
q4_K_M vs fp16,reask,pooled over six families,exploratory,1133,270,109,74,12,938,0.161518,0.106796,0.054722,0.0394955,0.0708231,0.95,0.161342,4.68976e-12
q4_K_M vs fp16,reask,llama3.2-3b,per family (descriptive),172,172,9,10,0,153,0.110465,0.0523256,0.0581395,0.0232558,0.0930233,0.95,0.216033,0.00195312
q4_K_M vs fp16,reask,qwen2.5-3b,per family (descriptive),180,180,90,35,11,44,0.694444,0.561111,0.133333,0.0611111,0.205556,0.95,0.276897,0.000535585
q4_K_M vs fp16,reask,phi4-mini-3.8b,per family (descriptive),185,185,3,18,1,163,0.113514,0.0216216,0.0918919,0.0486486,0.135135,0.95,0.392126,7.62939e-05
q4_K_M vs fp16,reask,qwen2.5-7b,per family (descriptive),213,213,1,3,0,209,0.0187793,0.00469484,0.0140845,0,0.0328638,0.95,0.137795,0.25
q4_K_M vs fp16,reask,llama3.1-8b,per family (descriptive),164,164,5,8,0,151,0.0792683,0.0304878,0.0487805,0.0182927,0.0853659,0.95,0.219796,0.0078125
q4_K_M vs fp16,reask,phi4-14b,per family (descriptive),219,219,1,0,0,218,0.00456621,0.00456621,0,0,0,0.95,0,1
q4_K_M vs fp16,speaker_free,pooled over six families,exploratory,1137,270,780,31,49,277,0.713281,0.729112,-0.0158311,-0.0318035,0,0.95,-0.0353082,0.0566644
q4_K_M vs fp16,speaker_free,llama3.2-3b,per family (descriptive),172,172,170,0,1,1,0.988372,0.994186,-0.00581395,-0.0174419,0,0.95,-0.063439,1
q4_K_M vs fp16,speaker_free,qwen2.5-3b,per family (descriptive),181,181,53,17,16,95,0.38674,0.381215,0.00552486,-0.0552486,0.0662983,0.95,0.0113599,1
q4_K_M vs fp16,speaker_free,phi4-mini-3.8b,per family (descriptive),188,188,156,7,8,17,0.867021,0.87234,-0.00531915,-0.0425532,0.037234,0.95,-0.0158008,1
q4_K_M vs fp16,speaker_free,qwen2.5-7b,per family (descriptive),213,213,205,0,6,2,0.962441,0.99061,-0.028169,-0.0516432,-0.00938967,0.95,-0.195964,0.03125
q4_K_M vs fp16,speaker_free,llama3.1-8b,per family (descriptive),164,164,163,0,1,0,0.993902,1,-0.00609756,-0.0182927,0,0.95,-0.156333,1
q4_K_M vs fp16,speaker_free,phi4-14b,per family (descriptive),219,219,33,7,17,162,0.182648,0.228311,-0.0456621,-0.0913242,-0.00456621,0.95,-0.113167,0.0639147
q4_K_M vs fp16,user,pooled over six families,pre-registered (see primary/h1b),1138,270,658,21,54,405,0.596661,0.625659,-0.0289982,-0.0435177,-0.0150355,0.95,-0.0594953,0.000176309
q4_K_M vs fp16,user,llama3.2-3b,per family (descriptive),172,172,170,0,2,0,0.988372,1,-0.0116279,-0.0290698,0,0.95,-0.216086,0.5
q4_K_M vs fp16,user,qwen2.5-3b,per family (descriptive),181,181,17,2,34,128,0.104972,0.281768,-0.176796,-0.237569,-0.116022,0.95,-0.459234,1.94123e-08
q4_K_M vs fp16,user,phi4-mini-3.8b,per family (descriptive),189,189,101,18,9,61,0.62963,0.582011,0.047619,0,0.100529,0.95,0.0974895,0.122078
q4_K_M vs fp16,user,qwen2.5-7b,per family (descriptive),213,213,202,1,6,4,0.953052,0.976526,-0.0234742,-0.0516432,0,0.95,-0.129179,0.125
q4_K_M vs fp16,user,llama3.1-8b,per family (descriptive),164,164,164,0,0,0,1,1,0,0,0,0.95,0,1
q4_K_M vs fp16,user,phi4-14b,per family (descriptive),219,219,4,0,3,212,0.0182648,0.0319635,-0.0136986,-0.0319635,0,0.95,-0.0883748,0.25
q4_K_M vs fp16,expert,pooled over six families,exploratory,1138,270,821,21,74,222,0.739895,0.786467,-0.0465729,-0.0635754,-0.0292586,0.95,-0.109668,4.24989e-08
q4_K_M vs fp16,expert,llama3.2-3b,per family (descriptive),172,172,172,0,0,0,1,1,0,0,0,0.95,0,1
q4_K_M vs fp16,expert,qwen2.5-3b,per family (descriptive),181,181,72,5,52,52,0.425414,0.685083,-0.259669,-0.331492,-0.18232,0.95,-0.528918,6.40187e-11
q4_K_M vs fp16,expert,phi4-mini-3.8b,per family (descriptive),189,189,153,10,6,20,0.862434,0.84127,0.021164,-0.015873,0.0634921,0.95,0.0596104,0.454498
q4_K_M vs fp16,expert,qwen2.5-7b,per family (descriptive),213,213,213,0,0,0,1,1,0,0,0,0.95,0,1
q4_K_M vs fp16,expert,llama3.1-8b,per family (descriptive),164,164,164,0,0,0,1,1,0,0,0,0.95,0,1
q4_K_M vs fp16,expert,phi4-14b,per family (descriptive),219,219,47,6,16,150,0.242009,0.287671,-0.0456621,-0.086758,-0.00456621,0.95,-0.10357,0.0524788
q8_0 vs fp16,reask,pooled over six families,exploratory,1188,276,137,9,3,1039,0.122896,0.117845,0.00505051,0,0.00986883,0.9,0.015522,0.145996
q8_0 vs fp16,reask,llama3.2-3b,per family (descriptive),177,177,9,2,1,165,0.0621469,0.0564972,0.00564972,-0.0112994,0.0225989,0.9,0.0239231,1
q8_0 vs fp16,reask,qwen2.5-3b,per family (descriptive),193,193,110,7,1,75,0.606218,0.57513,0.0310881,0.0103627,0.0569948,0.9,0.0632361,0.0703125
q8_0 vs fp16,reask,phi4-mini-3.8b,per family (descriptive),199,199,5,0,0,194,0.0251256,0.0251256,0,0,0,0.9,0,1
q8_0 vs fp16,reask,qwen2.5-7b,per family (descriptive),218,218,2,0,0,216,0.00917431,0.00917431,0,0,0,0.9,0,1
q8_0 vs fp16,reask,llama3.1-8b,per family (descriptive),178,178,10,0,1,167,0.0561798,0.0617978,-0.00561798,-0.0168539,0,0.9,-0.0238515,1
q8_0 vs fp16,reask,phi4-14b,per family (descriptive),223,223,1,0,0,222,0.0044843,0.0044843,0,0,0,0.9,0,1
q8_0 vs fp16,speaker_free,pooled over six families,exploratory,1192,276,870,4,10,308,0.733221,0.738255,-0.00503356,-0.0103755,0,0.9,-0.0114156,0.179565
q8_0 vs fp16,speaker_free,llama3.2-3b,per family (descriptive),176,176,176,0,0,0,1,1,0,0,0,0.9,0,1
