family,precision,expert,reask,speaker_free,user,floor_speaker_free_minus_reask,social_user_minus_speaker_free,social_expert_minus_speaker_free
llama3.1-8b,fp16,1,0.0655738,1,1,0.934426,0,0
llama3.1-8b,q4_K_M,1,0.101124,0.994382,1,0.893258,0.00561798,0.00561798
llama3.1-8b,q8_0,1,0.0558659,1,1,0.944134,0,0
llama3.2-3b,fp16,1,0.0555556,0.994444,1,0.938889,0.00555556,0.00555556
llama3.2-3b,q4_K_M,1,0.10989,0.989011,0.989011,0.879121,0,0.010989
llama3.2-3b,q8_0,1,0.0666667,1,0.994444,0.933333,-0.00555556,0
phi4-14b,fp16,0.300448,0.0044843,0.242152,0.0358744,0.237668,-0.206278,0.058296
phi4-14b,q4_K_M,0.252252,0.0045045,0.193694,0.018018,0.189189,-0.175676,0.0585586
phi4-14b,q8_0,0.282511,0.0044843,0.246637,0.0358744,0.242152,-0.210762,0.0358744
phi4-mini-3.8b,fp16,0.855072,0.0243902,0.884058,0.613527,0.859668,-0.270531,-0.0289855
phi4-mini-3.8b,q4_K_M,0.867347,0.114583,0.871795,0.642857,0.757212,-0.228938,-0.00444793
phi4-mini-3.8b,q8_0,0.862069,0.029703,0.876847,0.62069,0.847144,-0.256158,-0.0147783
qwen2.5-3b,fp16,0.705584,0.581633,0.406091,0.284264,-0.175541,-0.121827,0.299492
qwen2.5-3b,q4_K_M,0.435484,0.698925,0.397849,0.107527,-0.301075,-0.290323,0.0376344
qwen2.5-3b,q8_0,0.659898,0.605128,0.375635,0.253807,-0.229494,-0.121827,0.284264
qwen2.5-7b,fp16,1,0.00913242,0.990868,0.977169,0.981735,-0.0136986,0.00913242
qwen2.5-7b,q4_K_M,1,0.0224215,0.964126,0.955157,0.941704,-0.00896861,0.0358744
qwen2.5-7b,q8_0,1,0.00909091,0.986364,0.972727,0.977273,-0.0136364,0.0136364
