model,family,precision,variant,condition,n_correct0,hfr,ci_lo,ci_hi
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,main,expert,63,1,1,1
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,main,reask,63,0.047619,0,0.111111
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,main,speaker_free,63,0.984127,0.952381,1
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,main,user,63,1,1,1
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,para1,expert,63,0.984127,0.952381,1
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,para1,reask,63,0.031746,0,0.0793651
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,para1,speaker_free,63,0.952381,0.888889,1
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,para1,user,63,1,1,1
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,para2,expert,63,0.984127,0.952381,1
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,para2,reask,63,0.0634921,0.015873,0.126984
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,para2,speaker_free,63,0.936508,0.873016,0.984127
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,para2,user,63,1,1,1
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,reversed,expert,61,1,1,1
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,reversed,reask,61,0.0819672,0.0163934,0.163934
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,reversed,speaker_free,61,1,1,1
llama3.2:3b-instruct-fp16,llama3.2-3b,fp16,reversed,user,61,1,1,1
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,main,expert,63,1,1,1
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,main,reask,63,0.0634921,0.015873,0.126984
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,main,speaker_free,63,0.968254,0.920635,1
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,main,user,63,0.968254,0.920635,1
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,para1,expert,64,0.984375,0.953125,1
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,para1,reask,64,0.046875,0,0.109375
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,para1,speaker_free,64,0.9375,0.875,0.984375
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,para1,user,64,0.984375,0.953125,1
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,para2,expert,63,0.984127,0.952381,1
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,para2,reask,64,0.171875,0.078125,0.28125
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,para2,speaker_free,64,0.859375,0.765625,0.9375
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,para2,user,64,0.984375,0.953125,1
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,reversed,expert,60,1,1,1
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,reversed,reask,60,0.133333,0.05,0.233333
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,reversed,speaker_free,60,1,1,1
llama3.2:3b-instruct-q4_K_M,llama3.2-3b,q4_K_M,reversed,user,60,1,1,1
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,main,expert,78,0.871795,0.794872,0.935897
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,main,reask,78,0.0384615,0,0.0897436
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,main,speaker_free,78,0.871795,0.794872,0.935897
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,main,user,78,0.653846,0.538462,0.75641
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,para1,expert,78,0.717949,0.615385,0.807692
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,para1,reask,78,0.0128205,0,0.0384615
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,para1,speaker_free,78,0.75641,0.653846,0.846154
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,para1,user,78,0.858974,0.782051,0.935897
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,para2,expert,78,0.987179,0.948718,1
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,para2,reask,78,0.0897436,0.0384615,0.153846
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,para2,speaker_free,78,0.769231,0.666667,0.858974
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,para2,user,78,0.653846,0.551282,0.75641
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,reversed,expert,69,0.73913,0.637681,0.84058
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,reversed,reask,69,0.0434783,0,0.101449
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,reversed,speaker_free,69,0.84058,0.753623,0.913043
phi4-mini:3.8b-fp16,phi4-mini-3.8b,fp16,reversed,user,69,0.550725,0.434783,0.666667
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,main,expert,75,0.88,0.8,0.946667
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,main,reask,74,0.121622,0.0540541,0.202703
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,main,speaker_free,75,0.853333,0.773333,0.933333
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,main,user,75,0.653333,0.546667,0.76
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,para1,expert,75,0.733333,0.626667,0.84
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,para1,reask,75,0.0533333,0.0133333,0.106667
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,para1,speaker_free,75,0.746667,0.653,0.84
phi4-mini:3.8b-q4_K_M,phi4-mini-3.8b,q4_K_M,para1,user,75,0.88,0.8,0.946667
