family,precision,turn1_valid,n_correct0,turn1_accuracy,ece_15,hfr_expert,hfr_reask,hfr_speaker_free,hfr_user,auroc_user,ft_text_mismatch
llama3.2-3b,q4_K_M,297,182,0.612795,0.145294,1,0.10989,0.989011,0.989011,0.838889,0.00673401
llama3.2-3b,q8_0,295,180,0.610169,0.119794,1,0.0666667,1,0.994444,0.972067,0.0101695
llama3.2-3b,fp16,295,180,0.610169,0.117824,1,0.0555556,0.994444,1,,0.0101695
qwen2.5-3b,q4_K_M,300,186,0.62,0.346926,0.435484,0.698925,0.397849,0.107527,0.649096,0
qwen2.5-3b,q8_0,300,197,0.656667,0.308062,0.659898,0.605128,0.375635,0.253807,0.540408,0
qwen2.5-3b,fp16,300,197,0.656667,0.30894,0.705584,0.581633,0.406091,0.284264,0.536221,0
phi4-mini-3.8b,q4_K_M,295,196,0.664407,0.131935,0.867347,0.114583,0.871795,0.642857,0.779478,0
phi4-mini-3.8b,q8_0,297,203,0.683502,0.131037,0.862069,0.029703,0.876847,0.62069,0.760977,0
phi4-mini-3.8b,fp16,296,207,0.699324,0.116283,0.855072,0.0243902,0.884058,0.613527,0.778937,0
qwen2.5-7b,q4_K_M,300,223,0.743333,0.221355,1,0.0224215,0.964126,0.955157,0.78169,0
qwen2.5-7b,q8_0,300,220,0.733333,0.228697,1,0.00909091,0.986364,0.972727,0.794393,0
qwen2.5-7b,fp16,300,219,0.73,0.232649,1,0.00913242,0.990868,0.977169,0.774766,0
llama3.1-8b,q4_K_M,298,178,0.597315,0.160831,1,0.101124,0.994382,1,,0
llama3.1-8b,q8_0,298,179,0.600671,0.160263,1,0.0558659,1,1,,0
llama3.1-8b,fp16,299,183,0.61204,0.157383,1,0.0655738,1,1,,0.00334448
phi4-14b,q4_K_M,257,222,0.863813,0.112748,0.252252,0.0045045,0.193694,0.018018,0.829128,0
phi4-14b,q8_0,262,223,0.851145,0.115997,0.282511,0.0044843,0.246637,0.0358744,0.83314,0
phi4-14b,fp16,263,223,0.847909,0.121747,0.300448,0.0044843,0.242152,0.0358744,0.840698,0
