family,precision,run,turn,n,mismatch_rate,cohens_kappa
llama3.1-8b,fp16,main,turn1,299,0.00334448,0.995373
llama3.1-8b,fp16,main,turn2,1196,0,1
llama3.1-8b,q4_K_M,main,turn1,298,0,1
llama3.1-8b,q4_K_M,main,turn2,1192,0,1
llama3.1-8b,q8_0,main,turn1,298,0,1
llama3.1-8b,q8_0,main,turn2,1192,0,1
llama3.2-3b,fp16,main,turn1,295,0.0101695,0.986146
llama3.2-3b,fp16,main,turn2,1180,0.000847458,0.99887
llama3.2-3b,q4_K_M,main,turn1,297,0.00673401,0.990785
llama3.2-3b,q4_K_M,main,turn2,1188,0.0016835,0.997753
llama3.2-3b,q8_0,main,turn1,295,0.0101695,0.986171
llama3.2-3b,q8_0,main,turn2,1179,0.000848176,0.998869
phi4-14b,fp16,main,turn1,263,0,1
phi4-14b,fp16,main,turn2,1052,0,1
phi4-14b,q4_K_M,main,turn1,257,0,1
phi4-14b,q4_K_M,main,turn2,1028,0.000972763,0.998702
phi4-14b,q8_0,main,turn1,262,0,1
phi4-14b,q8_0,main,turn2,1048,0,1
phi4-mini-3.8b,fp16,main,turn1,296,0,1
phi4-mini-3.8b,fp16,main,turn2,1181,0.00169348,0.997729
phi4-mini-3.8b,q4_K_M,main,turn1,295,0,1
phi4-mini-3.8b,q4_K_M,main,turn2,1173,0.00341006,0.995374
phi4-mini-3.8b,q8_0,main,turn1,297,0,1
phi4-mini-3.8b,q8_0,main,turn2,1186,0.00252951,0.996597
qwen2.5-3b,fp16,main,turn1,300,0,1
qwen2.5-3b,fp16,main,turn2,1194,0,1
qwen2.5-3b,q4_K_M,main,turn1,300,0,1
qwen2.5-3b,q4_K_M,main,turn2,1199,0,1
qwen2.5-3b,q8_0,main,turn1,300,0,1
qwen2.5-3b,q8_0,main,turn2,1192,0,1
qwen2.5-7b,fp16,main,turn1,300,0,1
qwen2.5-7b,fp16,main,turn2,1200,0,1
qwen2.5-7b,q4_K_M,main,turn1,300,0,1
qwen2.5-7b,q4_K_M,main,turn2,1200,0,1
qwen2.5-7b,q8_0,main,turn1,300,0,1
qwen2.5-7b,q8_0,main,turn2,1200,0,1
